Entry	Gene
D6RJE5	ABCC3
H0Y8Q6	ABCC3
H0Y8T5	ABCC3
H0Y9T4	ABCC3
O15438	ABCC3
Q2M3C9	ABCC3
Q86VN9	ABCC3
A0A2R8Y5Z3	ABCC4
A0A2R8Y6V8	ABCC4
A0A2R8YDC1	ABCC4
A0A2R8YDG7	ABCC4
A0A5C0NTB8	ABCC4
O15439	ABCC4
Q8IUA3	ABCC4
Q8IWU1	ABCC4
A5PKY6	ABCC5
C9JZL5	ABCC5
E9PET4	ABCC5
F8WCY8	ABCC5
F8WDH3	ABCC5
H7C271	ABCC5
O15440	ABCC5
A0A0G2JMG3	ABCC6
A0A0J9YVW5	ABCC6
A0A1W2PPQ8	ABCC6
A0A1W2PQX7	ABCC6
I3L1Z6	ABCC6
O95255	ABCC6
A0A220SZZ5	ABCC8
A0A2R8Y3M7	ABCC8
A0A2R8Y475	ABCC8
A0A2R8Y4V0	ABCC8
A0A2R8Y4Z4	ABCC8
A0A2R8Y5D8	ABCC8
A0A2R8Y5I7	ABCC8
A0A2R8Y5V4	ABCC8
A0A2R8Y5X1	ABCC8
A0A2R8Y605	ABCC8
A0A2R8Y698	ABCC8
A0A2R8Y6B7	ABCC8
A0A2R8Y6I7	ABCC8
A0A2R8Y6Q0	ABCC8
A0A2R8Y775	ABCC8
A0A2R8Y781	ABCC8
A0A2R8Y7I1	ABCC8
A0A2R8YCG4	ABCC8
A0A2R8YD94	ABCC8
A0A2R8YDB5	ABCC8
A0A2R8YDE9	ABCC8
A0A2R8YDG0	ABCC8
A0A2R8YDG6	ABCC8
A0A2R8YDX3	ABCC8
A0A2R8YEE5	ABCC8
A0A2R8YFB3	ABCC8
A0A2R8YFU3	ABCC8
A0A2R8YG67	ABCC8
A0A2R8YGQ6	ABCC8
A0A2R8YHG6	ABCC8
E9PK50	ABCC8
H0YDH8	ABCC8
H0YE33	ABCC8
H0YEA9	ABCC8
H0YF51	ABCC8
Q09428	ABCC8
A0A024RAV7	ABCC9
G3V1N6	ABCC9
H0YFV4	ABCC9
K4DI86	ABCC9
O60706	ABCC9
Q8N4N7	ABCC9
A0A3B3ITW3	ABCD3
P28288	ABCD3
D6R9I9	ABCE1
D6RGF4	ABCE1
H0Y990	ABCE1
P61221	ABCE1
A0A0G2JIC2	ABCF1
A0PJ72	ABCF1
F5GYK6	ABCF1
H0YGW7	ABCF1
L0R6B8	ABCF1
Q2L6I2	ABCF1
Q5STZ8	ABCF1
Q8NE71	ABCF1
A0A0S2Z5L1	ABCF3
A0A0S2Z645	ABCF3
F8WCU6	ABCF3
Q9NUQ8	ABCF3
A1LUE4	ABCG2
F8S0F2	ABCG2
F8S0F6	ABCG2
F8S0F7	ABCG2
I4EPX2	ABCG2
I7JB59	ABCG2
Q8WZ76	ABCG2
Q9UNQ0	ABCG2
Q53QN9	ABCG5
Q53T83	ABCG5
Q9H222	ABCG5
A0A2R8Y6M1	ABCG8
B7ZL41	ABCG8
Q14CR0	ABCG8
Q96A01	ABCG8
Q9H221	ABCG8
Q96BT7	ABH8
A0A140VJD1	ABHD1
C9J8C2	ABHD1
F8WBB3	ABHD1
Q96SE0	ABHD1
A0A024RC89	ABHD2
H3BMT2	ABHD2
H3BN19	ABHD2
H3BUZ6	ABHD2
P08910	ABHD2
J3KSP1	ABHD3
J3KTE1	ABHD3
J3QQR0	ABHD3
J3QR14	ABHD3
Q8WU67	ABHD3
A0A0M3LN66	ABHD5
A0A0S2Z572	ABHD5
A0A0S2Z5D6	ABHD5
A0A2R8Y7S6	ABHD5
A0A2R8YER6	ABHD5
A0A2R8YEZ7	ABHD5
A0A2R8YG22	ABHD5
A0A2R8YG27	ABHD5
A0A2U3TZT9	ABHD5
C9J1D1	ABHD5
C9JBM3	ABHD5
F6K7K2	ABHD5
F6K7K3	ABHD5
F6K7K4	ABHD5
F6K7K5	ABHD5
F8W7B5	ABHD5
H7BZY9	ABHD5
Q8WTS1	ABHD5
Q53RS4	ABI-2
Q53SH3	ABI-2
A0A0A0MRT6	ABI1
B6VEX4	ABI1
L8EC66	ABI1
Q8IZP0	ABI1
I3L1X2	ABI3
I3L3W4	ABI3
L8ECG8	ABI3
Q9P2A4	ABI3
A0A1S5UZ16	ABI3BP
D3YTG3	ABI3BP
E9PPR9	ABI3BP
E9PRB5	ABI3BP
H0Y897	ABI3BP
H0YCG4	ABI3BP
H0YCP4	ABI3BP
H0YDN0	ABI3BP
H0YEA0	ABI3BP
H0YEL2	ABI3BP
H0YF18	ABI3BP
H0YF57	ABI3BP
H7C4H3	ABI3BP
H7C4N5	ABI3BP
H7C4S3	ABI3BP
H7C4T1	ABI3BP
H7C4X4	ABI3BP
H7C524	ABI3BP
H7C556	ABI3BP
H7C5S3	ABI3BP
L8EAT2	ABI3BP
Q5JPC9	ABI3BP
Q7Z7G0	ABI3BP
A0A024R8E2	ABL1
P00519	ABL1
Q13688	ABL1
Q13689	ABL1
Q13691	ABL1
Q13914	ABL1
Q13915	ABL1
Q3B836	ABL1
Q3B837	ABL1
Q86Y36	ABL1
R4GRW0	ABL1
A0A0A0MRL6	ABLIM1
A0A3B3IS55	ABLIM1
A0A494C1G0	ABLIM1
A0A494C1P1	ABLIM1
F6XFR5	ABLIM1
F8W8M4	ABLIM1
H0Y7N6	ABLIM1
J3QSX6	ABLIM1
O14639	ABLIM1
D6RAL0	ABLIM2
F5GYR0	ABLIM2
Q19VH1	ABLIM2
Q4W5G4	ABLIM2
Q6H8Q1	ABLIM2
A0A0A0MRD5	ABLIM3
A0A0C4DGA7	ABLIM3
D6RHE7	ABLIM3
O94929	ABLIM3
A0A0D9SGD7	ABR
A0A0G2JQ41	ABR
A0A0G2JQB5	ABR
A0A0G2JQM3	ABR
A0A0G2JQT5	ABR
A0A0G2JRC2	ABR
A0A0G2JRJ1	ABR
A0A0G2JRW2	ABR
A0A0G2JSE0	ABR
A0A1C7CYZ0	ABR
B7Z683	ABR
I3L0R7	ABR
I3L1U8	ABR
I3L259	ABR
I3L2C0	ABR
I3L2L3	ABR
I3L2P5	ABR
I3L379	ABR
I3L3W0	ABR
I3L4Y1	ABR
I3NI05	ABR
Q12979	ABR
Q8N0Z2	ABRA
A0A024R2M6	ACAA1
B4DVF4	ACAA1
C9JDE9	ACAA1
F2Z2Q6	ACAA1
F2Z3P7	ACAA1
H0Y4D4	ACAA1
H7C131	ACAA1
P09110	ACAA1
A0A087WVR6	ACACA
A0A087WWN5	ACACA
A0A087WYK6	ACACA
A0A087WYS8	ACACA
A0A087X0W4	ACACA
A0A087X126	ACACA
A0A087X2F8	ACACA
A0A0C4DGT1	ACACA
L8EAV0	ACACA
Q13085	ACACA
Q59FY4	ACACA
Q7Z5W8	ACACA
A0A087WUA1	ACACB
F5H5C3	ACACB
F8W8T8	ACACB
H0YGH5	ACACB
O00763	ACACB
Q4G170	ACACB
S4R3S7	ACACB
D6R9Z3	ACAD9
D6RCD8	ACAD9
D6RDK9	ACAD9
D6RGK6	ACAD9
D6RJA8	ACAD9
H0Y8Z9	ACAD9
Q9BUX5	ACAD9
Q9H845	ACAD9
Q9H9W4	ACAD9
P28330	ACADL
A0A0S2Z374	ACADSB
A0A0S2Z3P9	ACADSB
P45954	ACADSB
A0A077H1I5	ACADVL
B3KPA6	ACADVL
G3V1M7	ACADVL
J3KS89	ACADVL
J3KSR4	ACADVL
J3QKU9	ACADVL
J3QRJ8	ACADVL
J9JID6	ACADVL
K7EJW8	ACADVL
K7EMF8	ACADVL
K7EQP4	ACADVL
P49748	ACADVL
I3L0K9	ACAP1
I3L268	ACAP1
Q15027	ACAP1
A0A087X1H5	ACAP2
A0A0U1RQT1	ACAP2
A0A5F9ZHJ9	ACAP2
C9J8L1	ACAP2
F8WAU0	ACAP2
H7C3K3	ACAP2
H7C3Q8	ACAP2
Q15057	ACAP2
F8W850	ACAP3
Q8N2W2	ACAP3
Q8WTZ1	ACAP3
Q96P50	ACAP3
A0A5F9ZHD4	ACAT1
A0A5F9ZHH9	ACAT1
A0A5F9ZHJ0	ACAT1
A0A5F9ZHJ7	ACAT1
A0A5F9ZHL1	ACAT1
A0A5F9ZHL7	ACAT1
A0A5F9ZI66	ACAT1
E9PRQ6	ACAT1
H0YEL7	ACAT1
P24752	ACAT1
P35610	ACAT1
O75908	ACAT2
Q9BWD1	ACAT2
A0A024R3P9	ACBD3
Q9H3P7	ACBD3
A0A0S2Z5Q0	ACBD4
A0A0S2Z5W7	ACBD4
A0A0S2Z5Y4	ACBD4
K7EM05	ACBD4
K7EMH4	ACBD4
Q8NC06	ACBD4
A0A087X0B8	ACBD5
B7Z2R7	ACBD5
Q5T8D3	ACBD5
Q5T8E0	ACBD5
X6RDD7	ACBD5
A0A024R949	ACBD6
A0A2R8Y544	ACBD6
Q9BR61	ACBD6
Q8N6N7	ACBD7
A0A590TQL1	ACD
A0A5F9ZCY9	ACD
Q96AP0	ACD
R4GMR6	ACD
R4GND4	ACD
R4GNJ5	ACD
A0A0A0MSN4	ACE
D3DU13	ACE
I3UJJ7	ACE
I6L9B3	ACE
J3KRH5	ACE
J3KS28	ACE
J3KSQ5	ACE
J3KTB8	ACE
J3KTH9	ACE
J3QLR4	ACE
J3QRX8	ACE
J3QSC7	ACE
P12821	ACE
Q1KSD9	ACE
Q1KSG0	ACE
Q3KRI4	ACE
Q3KRI5	ACE
X4Y8J8	ACE
Q9BYF1	ACE2
A0A166IZM7	ACHE
A0A2S1KLT7	ACHE
A0A411EXG3	ACHE
A0A411EXG9	ACHE
A0A498U6H7	ACHE
C9J2S3	ACHE
C9JD78	ACHE
C9JZL6	ACHE
D6W5X8	ACHE
F8WAR7	ACHE
F8WD34	ACHE
F8WD68	ACHE
P22303	ACHE
Q13697	ACHE
Q6TQD3	ACHE
A0A087WYN3	ACIN1
A0A087X0D2	ACIN1
E7EQT4	ACIN1
G3V3B0	ACIN1
G3V3T3	ACIN1
Q9UKV3	ACIN1
S4R3H4	ACIN1
A0A024R1T9	ACLY
A0A024R1Y2	ACLY
K7EIE7	ACLY
K7ESG8	ACLY
P53396	ACLY
Q8WXI4	ACOT11
Q8WYK0	ACOT12
Q9NPJ3	ACOT13
A0A494C0N6	ACOT8
E9PIS4	ACOT8
E9PJN0	ACOT8
E9PMC4	ACOT8
E9PRD4	ACOT8
F6VBM3	ACOT8
H0Y698	ACOT8
H7C5A7	ACOT8
O14734	ACOT8
Q9BR14	ACOT8
A0A024R8L7	ACOX1
A0A024R8T3	ACOX1
I3L0T4	ACOX1
I3L2U4	ACOX1
I3L4S5	ACOX1
K7ELT1	ACOX1
K7ENF1	ACOX1
K7ESC7	ACOX1
Q15067	ACOX1
C9J0G0	ACOX2
C9JY29	ACOX2
H7C4Q2	ACOX2
H7C4Y2	ACOX2
H7C573	ACOX2
Q99424	ACOX2
D6RJ89	ACOX3
O15254	ACOX3
A0A0C4DG10	ACOXL
C9JQI3	ACOXL
H7C0A6	ACOXL
H7C2M3	ACOXL
H7C345	ACOXL
Q9NUZ1	ACOXL
D3YTI2	ACP1
F2Z2Q9	ACP1
